
size,R_succ,R_fail,W_comp,Thrgh,Flps,time,M_all
10,5563,111,4696,0.1,4696,48.0175,18412
20,5486,118,4606,0.2,4606,67.8894,28730
30,5550,124,4622,0.3,4622,48.0336,48473
40,5565,111,4695,0.3,4695,48.0533,59245
50,3047,63,2551,0.1,2551,60.617,23795
60,5211,103,4427,0.2,4427,92.8091,33037
70,5221,108,4387,0.2,4387,94.9352,34383
80,5288,122,4444,0.6,4444,63.5875,102139
90,5286,108,4461,0.7,4461,69.4205,116253
100,5547,102,4629,0.8,4629,59.2058,132578
200,5109,104,4281,0.7,4281,98.2658,120847
300,5509,114,4645,2.4,4645,59.8057,406180
400,5570,106,4677,3.3,4677,48.9122,567884
500,5519,119,4611,3.8,4641,60.1397,652135
600,4587,87,3858,1.9,3858,94.1127,321236
700,5563,115,4644,5.8,4644,48.9174,1008810
800,5566,107,4628,4.5,4628,48.9956,105056
900,5499,148,4585,6.0,4586,60.7445,1029617
1000,2756,63,2283,3.4,2283,89.6277,584519
